pos	rup	ron
vb 1	shupuredzu	batjocori, v
sf	shupurteacâ	nuia
sn	shupuru	batjocură
sn	shuputicu	izvoraş captat mic
sf	shuputiri	şoaptă
sn	shuputiru	izvor captat
sf	shurcâ	tub de şipot
vb 4	shurduescu	asurzi, v
vb 4	shurduescu	plezni o palmă - fig
sf	shuricami	şoareci mulţi
sf	shuricinâ	coada şoricelului
sf	shuricoanji	acid arsenic
sf	shuricoanji	şoarece femelă
sf	shuricoanji	şoricioaică
sm	shuricushu	şoricel
sf	shurikinâ	coada şoricelului
sf	shurpicari	muşcare de şarpe
adj	shurpicatu	muşcat de şarpe, ca
sf	shurshurari	sursurare
adj	shurshuratu	susurat
vb 1	shurshuredzu	susura, v
sn	shurshuru	susur
vb 4	shurtescu	altoi, v
vb 5	shurtescu	amputa, v
vb 6	shurtescu	reteza, v
sn	shurubu	şurub
sf	shuruinâ	şiroi
sf	shushcâ	umflătură
vb 4	shushescu	înnebuni, v
vb 4	shushescu	prosti, v
vb 4	shushuescu	înnebuni, v
vb 4	shushuescu	prosti, v
sf	shushuiri	prostire
adj	shushuitu	prostit
sn	shushumagu	alice
sf	shushurari	şoptire
adj	shushuratu	şoptit
sf	shutâ	oală fără toarte
sf	shutâ	umflătură
sf	shutsalâ	făcăleţ
sf	shutsâri	sucire
adj	shutsâtu	castrat
adj	shutsâtu	schimbător
adj	shutsâtu	sucit
sf	shutsâturâ	castrare
sf	shutsâturâ	cotitură
sf	shutsâturâ	sucitură
vb 4	shutsăscu	suci, v
vb 4	shutsu - mi	castra, v
vb 4	shutsu - mi	întoarce, v
vb 4	shutsu - mi	învârti, v
vb 4	shutsu - mi	jugăni, v
vb 4	shutsu - mi	ocoli, v
vb 4	shutsu - mi	suci, v
adj	shutsutu	sucit
sm	shutu	ciob
adj	shutu	diavol
adj	shutu	gras
sm	shutu	hârb
adj	shutu	şut - fără urechi
vb 4	shuvâescu	şovăi, v
sm pl?	shuvaru	trestie
pron reflex pers 3 sgshi pl	si	s'
conj	si	să
sf	sibepi	cauză
sf	sibepi	motiv
sf	sibepi	pretext
sf	siboi	micşunea
sf	sicarâ	secară
sf	sicâreatsâ	pâine de secară
sf	sicari	înfrigurare
sf	sicari	paralizie
sf	sicari	secară
sf	sicârinji	loc cu secară
adj	sicatu	infirm
adj	sicatu	înfrigurat
adj	sicatu	paralizat
adj	sicatu	secat
adj	sicatu	uscat
sf	sicâturâ	secetă
sf	sicleti	angoasă
sf	sicleti	neliniştea singurătăţii
vb 4	siclitsescu - mi	nelinişti dramatic
vb 4	siclitsescu - mi	sinchisi, v
sf	siclitsiri	neliniştea singurătăţii
adj	siclitsitu	dorinţă oprimat
vb 4	sictârsescu	sictiri, v
sf	sidefi	sidef
sf	siferi	armată mobilizată
sm	sifte, siftedz	saftea
sm	sifter	şoim
sm	sigeade	covor turcesc
sf	sigeadei	covor turcesc
sf	sigimi	sfoară
sf	signi	steag bisericesc
sf	sigurimi	tija de la coarnele plugului
adv	siguru	bineînţeles
adv	siguru	desigur
adj	siguru	sigur
adv	siguru	sigur
sm	sihâdhyearu	colăcar - cavaler de onoare călare care anunţă sosirea alaiului de nuntă
sf	sihâriclji	recompensă
sf	sihâriclji	recompensă pt veste bună
sf	sihâriki	recompensă
sf	sihâriki	recompensă pt veste bună
adj	sihâryeatu	colăcar - cavaler de onoare călare care anunţă sosirea alaiului de nuntă
adj	sihâvyearu	colăcar - cavaler de onoare călare care anunţă sosirea alaiului de nuntă
mesu 09	Sihtemre	Septembrie
sm	siimenu	seimen - jandarm turc
sf	silâ	forţă
sf	silâ	putere
sf	silâ	silă
sf	silavâ	silabă
sf	silavii	silabă
vb 4	silavisescu	silabisi, v
sf	sileafi	brâu lat
sn	sileafu	brâu lat
sf	sileameti	salvare
sf fpl	sileami	salutare
sm	silihtaru	comandant
sf	silimii	ţesătură de mătase
sf	silinicâ	flanelă
sf	silinicâ	flanelă de lână
sm	silinu	şiling
sf	silistrâ	pieptăraş - pieptar pt copii
sf	silistrâ	puşcoci
sn	silivaru	lanţ de briceag
vb 4	silixescu	culege, v
vb 4	silixescu	recolta, v
adj	silnâosu	intens
adj	silnâosu	puternic
adj	silnâvosu	intens
adj	silnâvosu	puternic
sf	siluii	îngândurare
sf	siluii	îngrijorare
sf	siluyii	îngândurare
sf	siluyii	îngrijorare
vb 4	siluyisescu - mi	medita
vb 4	siluyisescu - mi	reflecta
vb 4	siluyisescu - mi	socoti, v
sf	silvii	chiparos
sm	silviu	chiparos
sf	simadhi	indice
sf	simadhi	semn
sf	simadhi	urmă
sf	simadi	indice
sf	simadi	semn
sf	simadi	urmă
sn	simandru	clopotniţă
sf	simânikii	frunză de senă - pt purgativ
sm	simathită, simathitadz	coleg
sf	simbatii	simpatie
vb 4	simbâtsescu - mi	scuza, v
sf	simbeti	cauză
sf	simbeti	motiv
sf	simbeti	pretext
adj	simbru	recăsătorit
invar	simfonâ	consonanţă
sf	simfonâ	consonanţă
sm	simici, simiceadz	covrigar
sf	simigâ	vârf de ac
sm	simigi(u), simigeadz	covrigar
adj	simigosu	vârfuit
sf	similânâ	lână amestecată
sf	siminâturâ	semănătură
sf	simintsâ	rasă
sf	simintsâ	sămânţă
vb	simisescu	aminti, v
sf	simitâ	pâine albă mică superioară
sf	simiti	făină superioară
vb 4	simiusescu	însemna, v
sf	simiydhali	griş
sn	simnâtoru	pecete de lemn pt însemnarea pâinii binecuvântate
adj	simnatu	destinat
adj	simnatu	semnat
adj	simnatu	vaccinat
vb 1	simnedzu	marca, v
vb 1	simnedzu	rezerva, v
vb 1	simnedzu	semna, v
vb 1	simnedzu	vaccina, v
sn	simnicu	semn mic
sn	simnitoru	părinte
sn	simnitoru	pecetar
sm	simnitoru	semănător
adj	simtu	sfânt
vb 4	simtu - mi	simţi, v
sf	simvulii	consiliu
vb 4	simvulipsescu - mi	consilia
sf	sinahi	guturai
sf	sinapi	muştar
sm	sinapizmo, sinapizmadz	cataplasmă din făină de muştar şi apă
sf pl?	sinapsi	carte de rugăciuni
sf pl?	sinaptsi	carte de rugăciuni
sf	sinastrufii	societate
sf	sindaxâ	sintaxă
sf	sindaymâ	dictatură
sf	sindhonâ	linţoliu
sf	sindilii	cataclism
sf	sindilii	vijelie
sf	sindilii	viscol
sf	sindilii	viscolire
sf	sindrofi	izmană
sf	sinduki	coşciug
sf	sinduki	ladă
vb 4	sindukisescu	ladă, a pune în , v
sm	sindushu	vizitiu
sf	sineti	circumcizie
sf	sineti	poliţă
sf	sinfadhâ	cumnată
sn	sinferu	interes
vb 4	sinfirsescu	interesa, v
sf	sinfunii	acord
sf	sinfunii	condiţie
vb 4	sinfunipsescu - mi	acord, a fi de, v
adv	sinfunipsitu	acord, de
sm fpl	singasto	dans specific
sm fpl	singatsco	dans specific
vb 4	singâtsescu	dansa singasto, v
sf	singeaki	district
sf	singilii	sentinţă
sf	singilii	verdict
sn	singiru	frânghie
sn	singiru	lanţ
sm pl?	singiu	lemn roşu
adv	singriticâ	comparativ
sf pl	singriticâ	comparativ
sf fpl	singurami	singurătate
sf fpl	singurami	solitudine
adj	singuraticu	singuratic
sf	singureatsâ	singurătate
sf	singuritati	singurătate
adj	singuru	singur
pron de întărire	singuru-nj	însumi
pron de întărire	singuru-shi	însuşi
adj	singurushu	singurel
pron de întărire	singuru-ts	însuţi
vb 4	sinhisescu - mi	nelinişti, v
vb 4	sinhisescu - mi	sinchisi, v
sf	sinhisi	emoţie
sf	sinhisi	necaz
adj	sinhisitu	neliniştit
adj	sinhisitu	sinchisit
sf pl?	sini	an
pron pers	sini	însuşi
pron pers	sini	sine
sf	sini	sine
sf	sinidhisi	conştiinţă
sf	sinii	masă joasă cu 3 picioare
vb 4	sinirsescu - mi	lua la întrecere
vb 4	sinirsescu - mi	rivaliza
sf	sinithii	obicei
sf	sinithisi	obicei
sn	sinjeacu	geruială
adj	sinjicatu	învineţit
sf	sinodhâ	sinod
sf	sintaxâ	sintaxă
vb 4	sintescu	simţi, v
adj	sintu	sfânt
vb 4	sintu - mi	simţi, v
sn	sinu	sân
sn	sinudh	sinod
sf	sinudhii	siguranţă
adj	sinunomat	nume, cu acelaşi
vb 4	sinuripsescu - mi	hotărnâci, v
sn	sinuru	frontieră
sn	sinuru	graniţă
sn	sinuru	hotar
sf	sipeti	valiză
sf	siptâmânâ	săptămână
adj	sirbesu	orgolios
sf	sireauâ	domeniu
sf	sireauâ	rând
sf fpl	siri	contemplaţie
sm	sirige, sirigeadz	carie
adj	sirinu	însorit
adj	sirinu	senin
sf	sirmâ, sirmati, sirmuri	mătase
sf	sirmâ, sirmati, sirmuri, sirnji	cablu
sf	sirmâ, sirmati, sirmuri, sirnji	sârmă
sf	sirmâ, sirmati, sirmuri, sirnji	telegraf
sm	sirmae, sirmaedz	capital
sm	sirmae, sirmaedz	fond financiar
sm	sirmatiro, sirmatiradz	filigran
sf	sirmii	gripă
sf	sirmii	guturai
adj	sirsemu	turbulent
sf	sirsimlâki	arţag
sf	sirsimlâki	ceartă, chef de
sf	sirsimlâki	ţâfnă
sf	sirtâ	origine
sf	sirtâ	provenienţă
sn	sirtaru	sertar
sf	sirtlâki	agerime
sm	sirto, sirtadz	dans, gen de
sn	sirtu	zăvor
sm	sirviljiu	chiparos
sm	sirviljiu	privighetoare
sf	siryeani	distracţie privind
sf	siryeani	promenadă
vb 4	siryinsescu	distra privind, v
sf	sisami	susan
sf	sistasi	adresă
sf	sistasi	recomandare
sf	sistimâ, sistimati	obicei
vb 4	sistisescu - mi	recomanda, v
sf	sistrâ	ţesală
vb 4	sistrisescu	ţesăla, v
sf	sitâ	sită
vb 4	sitâxescu	cerceta, v
adj	sitosu	avid
adj	sitosu	setos
sf	sitrei	jachetă
sm	sitsirâtoru	secerător
adj	sitsiratu	mort - fig
sf	sivapi, sivăki	binefacere
sf	sivdai	amor
sf	sivdai	iubire
adj	sivdâlă, sivdâloanji	iubitor
adj	sivdaliu	amoros
adj	sivdaliu	drăgăstos
adj	sivdâliu	iubitor
adj	sivdâlosu	iubitor
sm	sivdă, sivdadz	amor
sm	sivdă, sivdadz	iubire
adj	sivu	cenuşiu
sf fpl	siyâ	pace
sf fpl	siyisi	încurcătură
vb 4	siyuripsescu - mi	asigura, v
sf	siyurliki	siguranţă
adv	siyuru	bineînţeles
adv	siyuru	desigur
adj	siyuru	sigur
adv	siyuru	sigur
sm+f	skeahtru	fantomă
sf	skeardiri	pagubă
sf	skeardiri	pierdere
sf	skeardiri	pierzanie
sf	skeastrâ	fantomă
sf	skeastrâ	gogoriţă
sf	skeastrâ	sperietoare pt copii
sn	skeletu	schelet
sf	skeli	chei navale
sf	skeli	schelă
sf	skeli	şold
sf	skepi	peritoneu
sf	skepi	prapor
sf	skepi	văl de doliu
sf	skepi	voal
sf	skepi	voal din ţesătură fină de mătase
vb 3+2	skerdu - mi	pierde
sf	skertsâ	glumă
sf pl?	sketâ	voal brodat
adj	sketu	neamestecat
adj	sketu	pur
adj	sketu	simplu
sf	skicâ	spic
sn	skicu	spic
sf	skicurâ	spic
sn	skicuriciu	salbă mică
sm	skifteru	şoim
sm	skifteru	vultur
sf	skifurâ	sulfură
sf	skilâ	vulpe
sm	skimbe, skimbedz	pântece
vb 1	skimuru	geme, v
vb 2	skimuru	scânci, v
sf fpl	skinami	spinet
sf fpl	skinami	spini, loc cu
sn	skinâratu	spinare
sf	skinari	aţâţare
sf	skinari	înghimpare
sf	skinari	spinare
sf	skinari	tachinare
adj	skinâtoru	intrigant
adj	skinâtoru	iritant
adj	skinâtoru	înghimpător
adj	skinatu	aţâţat
adj	skinatu	înghimpat
adj	skinatu	înţepat
adj	skinatu	tachinat
sf	skinâturâ	incitare
sf	skinâturâ	intrigă
sf	skinciureatsâ	avariţie
sn	skingiu	schingiuire
sn	skingiu	torturare
adj	skinosu	spinos
sm	skinu	spin
vb 1	skinu - mi	aţâţa, v
vb 1	skinu - mi	înghimpa, v
vb 1	skinu - mi	înţepa, v
vb 1	skinu - mi	tachina, v
sm	skinu i	ghimpe
sf	skipari	teslă
sf	skipoanji	vultur
sm	skiponjiu	vultur
sn	skiptru	sceptru
sf	skirdeari	pierdere
adj	skirdutu	rătăcit
sm	skitiu	adolescent
sm	skitiu	flăcău
sn	skitu	schit
sf	skivalâ	pleavă
sf	skivirii	ursuzenie
sf	skizare	aşchie
sf	skizare - fig	bădăran
sf	skizare - fig	greu de cap
vb 1	skizedzu	despica, v
vb 1	skizedzu	reteza, v
sf	skizmâ	schismă
sf	slabâ	rău
sf	slâbeatsâ	moleşire
sf	slâbeatsâ	răutăţi
sf	slâbeatsâ	slăbiciune
sf	slâbilji	moleşire
sf	slâbilji	răutăţi
sf	slâbilji	slăbiciune
sf	slâbintsâ	moleşire
sf	slâbintsâ	răutăţi
sf	slâbintsâ	slăbiciune
sf	slâbintsâ	şale
adj	slabu	prost calitativ
adj	slabu	rău
sm fpl	slabu	rău
adj	slabu	slab
adj	slâbushcu	slăbuţ
vb 4	slâghescu	slăbi, v
sf	slâghinâ	şold
sf	slâghiri	slăbire
sm pl?	slâghitu	oftica la vite
adj	slâghitu	slăbit
sm	slapu	jep - pin de munte
adj	sljiopu	şchiop
sf	sloatâ	sloată
sf	slobodii	libertate
sf pl?	slupi	formă
sf	slutiki	sluţenie
sf	slutiki	sluţire
adj	slutsitu	sluţit
adj	slutu	diform
adj	slutu	slut
sm pl?	smacu	putreziciune
sf	smagâ	murdărie
sn	smaltu	smalţ
sf pl?	smârce	ciupercă - specie de
sm	smârdhă, smârdadz	defect
sm	smârdhă, smârdadz	lipsă
sm	smârdhă, smârdadz	tară - defect
vb 4	smâryescu - mi	murdări, v
adj	smâryitu	murdărit
adj	smeadu	smead - cu faţa negricioasă şi palidă
sf	smearâ	plantă culinară
sf fpl	smolâ	smoală
vb 1	smurticu - mi	înnăbuşi, v
vb 1	smurticu - mi	sufoca
sm	snopu	snop
sf	soacrâ	soacră
sf	soamâ	somn - peşte
sf	soarâ	subţioară
sf	soarbâ	cruşin - arbust melifer
sf	soarbâ	moşmoală - fruct
sm	soari	soare
sf	soarti	destin
sf	soarti	naştere
sf	soarti	placentă
sf	soarti	soartă
adj  f	soatsâ	împreună
sf	soatsâ	pereche
sf	soatsâ	tovarăşă
sf	sobâ	cald - ca în sobă
sf	sobâ	sobă
sm	sobagi, sobageadz	sobar
sn	soboru	adunare
sn	soboru	reuniune
sm	socru	socru
sm	socu	soc
sm	socuru	socru
sf	sodhâ	apă gazoasă
sf	sodhâ	sodă
sf	sofrâ	masă
sf	softâ	student islamic teologic
sf	soi	fel
sf	soi	neam
sf	soi	rasă
sf	soi	rudă
sf	soi	rudenie
sf	soi	soi
sf	soi	sortiment
sn	soir	cerc trasat pe pământ în jocurile copiilor
sm	soitaru	bufon
sf	soki	canea de butoi
sf	soki	penis
sm	soldzu	solz
sn	somnu	somn
sf	somunâ	pâine întreagă
sf fpl	soni	final
sf fpl	soni	fine
sf fpl	soni	sfârşit
sf	sopcâ	ciomag
sf	sorâ	soră
sm	sorbu	sorb
vb 3+4+2	sorbu	sorbi, v
sf	sortâ	fel
sf	sortâ	sortiment
sf	sortâ	specie
sf	soru	soră
vb	soru - mi	însura, v
sm+f	sotsu, soatsâ	amic
sm+f	sotsu, soatsâ	camarad
sm+f	sotsu, soatsâ	prieten
sm+f	sotsu, soatsâ	tovarăş
sf	spadhâ	sabie
sf	spâhidlâki	contribuţie
sf	spâhidlâki	cotizaţie
sf	spâhidlâki	impozit
sm	spahiu	spahiu - soldat turc
sf	spalâ	spate
sn	spânacu	spân micuţ
sn	spânacu	spanac
sf	spânaki	spanac
sn	spânakiu	spanac
sn	spangu	sfoară
adj	spaniu	excepţional
adj	spaniu	rarisim
vb 1	spânticu - mi	spinteca, v
sm+f	spânu	pleşuv
sm+f	spânu	spân
sf	spapi, spapuri	materiale textile
sf	spapi, spapuri	produse textile casnice
sf	spapi, spapuri	ţesătură - material textil
sf	spârangâ	sparanghel
sn	spârgâmintu	spargere
sf fpl	spârgânami	scutece multe
sn	sparganu	scutec
sn	spargânu	scutec
vb 3+2	spargu	sparge, v
vb 3+3	spargu	strica, v
sf	spârtinâ	cablu
sf	spârtinâ	odgon
adj	spartu	depravat
adj	spartu	stricat
vb 2	sparu - mi	speria, v
sn	sparyanu	scutec
sf	spastrâ	curăţenie
vb 4	spâstrescu - mi	curăţi, v
vb 4	spâstrescu - mi	omorâ
vb 4	spâstrescu - mi	şterpeli, v
sf	spâstriri	curăţire
adj	spâstritu	curat
adj	spâstritu	curăţit
adj	spastru	curat
sm pl?	spasu	rost
sf	spatâ	sabie
sf	spatâ	spată - la război de ţesut
sf	spatâ	spate
sf	spâtalji	păstaie
sf	spâtalji	teacă
adj	spatalu	cheltuitor
adj	spatalu	risipitor
sm	spâtaru	spătar - care face şi vinde spate de război
sf	spâteadzâ	băţ ca un făcăleţ
sf	spâteadzâ	lalea
adj	spâthatu	zvelt
sm	spathi, spathadz	treflă - la joc de cărţi
sf	spâtuljiusiri	prăpădire
adj	spâtuljiusitu	ruinat
sm	spazmo, spazmadz	convulsie
sm	spazmo, spazmadz	spasm
vb 4	spătuljiusescu - mi	risipi, v
sf	speasi	scutec
vb 1	spelu	fugi - fig
vb 1	spelu	spăla putina - fig
vb 1	spelu	spăla, v
sf	spendzâ	monedă cu valoare mică
sf	spermâ	spermă
adj	spesu	des
sf	spidâ	uragan
sf	spidâ	vijelie
sf	spidâ	viperă - fig
sf	spidhâ	uragan
sf	spidhâ	vijelie
sf	spidhâ	viperă - fig
vb 1	spigiuru	conjura
vb 1	spigiuru	implora
vb 1	spigiuru	jura solemn
sf	spilâ	cavernă
sf	spilâ	grotă
sf	spilâ	peşteră
sf	spilari	spălare
adj	spilatu	curat
adj	spilatu	spălat
sf	spilâturâ	spălătură
sf	spilei	cavernă
sf	spilei	grotă
sf	spilei	peşteră
vb 3	spilingu	prelinge, v
vb 3	spilingu	scurge, v
sf	spiljeauâ	cavernă
sf	spiljeauâ	grotă
sf	spiljeauâ	peşteră
sf	spindzurari	spânzurare
sf	spindzuratu	nerezolvat
sf	spindzuratu	spânzurat
sf	spindzuratu	ticălos - fig
vb 1	spindzuru - mi	spânzura, v
sm pl?	spingiu	spânz - plantă medicinală
vb 4	spingiuescu	spânzui  - vaccina cu
sf	spinshoarâ	turtă dulce
sm+f	spionu	spion
vb 4	spirlundzescu	prelungi, v
sf	spirlundziri	prelungire
adj	spirlundzitu	prelungit
adj	spirlungosu	lungăreţ
adj	spirlungu	prelung
sf	spirmâtsetâ	spermanţet - ceară de balenă
sn	spitalu	spital
sf	spithâ	aşchie
sf	spithâ	fulg
sf	spithâ	scânteie
adj	spitrumtu	străpuns
vb 3	spitrundu - mi	pătrunde, v
sf	spitsâ	aşchie
sf	spitsâ	spic
sf	spitsâ	vârf
sf	spitsârii	farmacie
sf	spitsârlâki	facmacist -  meseria de
sm	spitsaru	farmacist
sm	spitsaru	spiţer - farmacist
sm	spitseru	farmacist
sf	spiunlâki	spionaj
sm+f	spiunu	spion
sf	splimari	scremătură
sf	splinâ	splină
sf	splinâ	splină - boală de
sf	spolji	pradă
sn	sporu	sămânţă
prep	sprâ- (tresprâdzatsi)	spre- (treisprezece)
adj	spragânu	slăbănog cu piciore lungi
adj	sprealimtu	lins prea
sf	spreamitâ	scremere
sm	spreamitu	excrement
vb 1	spreamitu - mi	screme, v
vb 3	sprelingu	linguşi, v
vb 1	spremu	căca, v
vb 1	spremu	defeca, v
prep	spri	spre
prefix	spri-	prea-
vb 1	spribashu	săruta prea, v
sn	spriciu	paiete
sn	sprigiuratu	jurământ solemn
vb 1	sprigiuru - mi	conjura
vb 1	sprigiuru - mi	implora
vb 1	sprigiuru - mi	jura solemn
sf	spriimnari	diaree
adj	spriimnatu	diaree care are
vb 1	spriimnu - mi	diaree a avea, v
vb 1	sprilau - mi	spăla prea, v
vb 3	sprilingu - mi	prelinge, v
vb 3	sprilingu - mi	scurge, v
adj	sprilungu	lungăreţ
adv	sprima	ca pentru
adv	sprima	după
adv	sprima	după cum
adv	sprima	faţă de
adv	sprima	în comparaţie cu
sf	sprimari	scremătură
sf	sprimeari	scremătură
sf	sprindzeanâ	sprânceană
vb 3	spritundu	pătrunde, v
adv	sproti	ca pentru...
prep	sproti	ca pentru...
adv	sproti	după
prep	sproti	după
adv	sproti	după cum...
prep	sproti	după cum...
adv	sproti	faţă de
prep	sproti	faţă de
sf	sprunâ	spuză - cenuşă ferbinte cu jeratec
sf	sprunâ	spuză - în număr f mare
sf fpl	sprunami	spuză multă
sf	sprunari	spuzare - acoperire cu spuză
adj	sprunatu	spuzat - acoperit cu spuză
vb 1	sprunedzu	spuza - acoperi cu spuză, v
vb 4	spudhâxescu	studia, v
sf	spudhie	studiu
adv	spulaiti	graţiie....
adv	spulaiti	mulţumită...
vb 1	spulbiru	dispărea, v
sn	spulbiru	praf
vb 1	spulbiru - mi	praf a se face, v -
vb 1	spulbiru - mi	praf, a curăţa de , v
vb 1	spulbiru - mi	praful a ridica, v
vb 1	spulbiru - mi	spulbera, v
sf	spumâ	spumă
sf	spumâturâ	spumă
sn	spumeanu	colivă
sn	spumeanu	pomană
vb 1	spumedzu	spumega, v
adj	spumosu	spumos
sf	spuneari	arătare
sf	spuneari	exprimare prin cuvinte
sf	spuneari	povestire
sf	spuneari	spunere
sf	spuniri	spunere
vb 3+2	spunu	arăta, v
vb 3+2	spunu	povesti, v
vb 3+2	spunu	spune, v
vb 3+2	spunu	zice
sf	spurâ	spuză - cenuşă ferbinte cu jeratec
sf	spurâ	spuză - în număr f mare
sf	spurnâ	spuză - cenuşă ferbinte cu jeratec
sf	spurnâ	spuză - în număr f mare
sf	spuzâ	spuză - cenuşă ferbinte cu jeratec
sf	spuzâ	spuză - în număr f mare
prep	stâ	peste
invar	stâ	sfânt
sm	stâciânu	tăciune
sf	stâfidâ	stafidă
sf	stâfidhâ	stafidă
vb 4	stâfidhusescu - mi	stafidi, v
sn	stâfilitu	omuşor
sf	staflâ	coardă care trece pe sub talpă şi ţine cioarecii
sn	stâflitu	omuşor
sf	stâhidâ	stafidă
sf	stâhimâ	pariu
sf	stalâ	strană
vb 4	stâlâescu - mi	instala, v
vb 4	stâlâescu - mi	plasa, v
vb 1	staljiu - mi	îmbrânzi, v - lapte
vb 1	staljiu - mi	întâlni, v
vb 1	staljiu - mi	întretăia, v
vb 1	staljiu - mi	scurta calea
vb 1	staljiu - mi	supăra, v
vb 1	staljiu - mi	trece, v
sf pl?	stamâ	linişte
sf	stâmânâ	săptămână
sf	stâmârii	iarbă, specie de
sf	stâmâtiri	opritor
vb	stâmâtsescu	opri, v
sf	stambâ	imprimerie
sf	stambâ	stambă - pânză înflorată din bumbac
sf	stambâ	tipografie
vb 4	stâmbâsescu - mi	imprima, v
vb 4	stâmbusescu - mi	imprima, v
sf	stamnâ	amforă
sm	stâmnaru	olar
sf	stâmnici	ulcioraş
adv	stânga	stânga
adj	stângaciu	stângaci
adj	stângaru	stângaci
adj	stângu	stâng
adv	stângu	stâng
sf	stani	stână
vb 4	stânipsescu	conserva, v
vb 4	stânipsescu	dura, v
vb 4	stânipsescu	păstra, v
vb 4	stânipsescu	trăi, v
sf	stâpitsâ	cursă
vb 4	stâpuescu -mi	stăpâni, v
sm	stârcu	barză
sm	stârcu	cocostârc
vb 1	stârgu	striga, v
sf	stari	rămânere
sf	stari	stare - rămânere
vb 4	stârkescu	seca, v
vb 1	stârnutu	strănuta, v
vb 4	stârxescu	accepta, v
vb 4	stârxescu	agreea, v
vb 4	stârxescu	consimţi, v
vb 4	stâsescu - mi	fixa, v
vb 4	stâsescu - mi	monta, v
sf	stashionâ	gară
sf	stashionâ	staţie
sf	stashioni	gară
sf	stashioni	staţie
sf	stâteari	rămânere
sf	staterâ	cântar
sf	stâtiri	cântar
sf	statsioni	staţie
adj	stâtutu	învechit
adj	stâtutu	obosit
adj	stâtutu	stătut
vb 1+2	stau	locui, v
vb 1+2	stau	opri, v
vb 1+2	stau	rămâne, v
vb 1+2	stau	sta, v
sf	staulâ	grajd
sm	stavraitu	vultur auriu
mesu 09	Stavru	Septembrie
vb 4	stâvrusescu - mi	crucifica, v
vb 4	stâvrusescu - mi	interescta
vb 4	stâvrusescu - mi	încrucişa, v
vb 4	stâvrusescu - mi	întâlni în drum, v
vb 4	stâvrusescu - mi	întretăia, v
adv	stavrutâ	cu picioarele încrucişate
adv	stavrutâ	stat turceşte în fund
sf	staxeauâ	picătură
sf	stazmitcâ	pâine cu năut
sm	steajeru	par înfipt în centrul ariei
adj	steao	frumoasă foarte
sf	steao	stea
adj	steauâ	frumoasă foarte
sf	steauâ	stea
sn	stepsu	vină
sf pl?	sterâ	plantă - specie de
vb 4	stereusescu	fixa, v
sf	sternâ	cisternă
adj	sterpu	steril
adj	sterpu	sterp
prep	sti	deasupra
prep	sti	pe
prep	sti	pentru
prep	sti	peste
conj	stică	dacă
conj	sti-că	dacă
sn	sticu	clipă
sn	sticu	moment
invar	stifa	fantomă
invar	stifa	invizibil
invar	stifa	spirit
invar	stifâ	fantomă
invar	stifâ	invizibil
invar	stifâ	spirit
sf	stifaletâ	gheată de damă
sf	stifani	caşcaval, calup de
sf	stifani	cunună
invar	stifă	fantomă
invar	stifă	invizibil
invar	stifă	spirit
vb 4	stifusescu	dispărea, v
vb 4	stifusescu	neantiza, v
vb 4	stifusescu	prăpădi, v
sf	stihari	veşmânt preoţesc
sf	stihii	fantomă
sf	stihii	strigoi
sf	stihimâ	pariu
sf	stihimâ	pretext
sm	stihio	balaur
sm	stihio	stafie
sm	stihio	strigoi
sm	stihiptu	junghi
sm	stihiu	balaur
sm	stihiu	zmeu
vb 4	stihiusescu - mi	stafie, a se transforma în, v
sn	stihu	clipă
sn	stihu	moment
sn	stihu	vers
vb 4	stikescu - mi	scuipa, v
sn	stilu	stâlp
sm	stimpinatu	diavol
sm	stimpinatu	drac
adj	stimtu	stins
sf pl?	stingali	ţurcă
vb 3+2	stingu	stinge, v
sf	stinuhurii	perplexitate
sf	stinuhurii	strâmtorare
vb 4	stinuhursescu - mi	strâmtora, v
adj	stinuhursitu	îngrijorat
sf	stipare	cerc
vb 4	stipsescu	vinovat a fi, v
sf	stipsi	piatră acră
sf	stipsiri	greşire
adj	stipsitu	vinovat
sf	stipsuneri	drojdie
vb 4	stipsusescu	vopsi cu drojdie
vb 4	stiriusescu - mi	consolida, v
vb 4	stiriusescu - mi	fixa, v
adj	stirnosu	arid
adj	stirnosu	pietros
sm	stirpar	sterpar - păstor de sterpe
vb 4	stirpescu	sterp a deveni, v
vb 4	stirpuescu	sterp a deveni, v
sn	stirpuret	sterpet
sn	stirpuriu	sterpet
sn	stiruvotan	iarbă de sterpit
vb 4	stisescu	fixa, v
vb 4	stisescu	monta, v
sf	stisidhâ	strană
sf	stivâ	grămadă
sf	stivaletâ	gheată de damă
sf	stivalji	gheată cu gât
vb 4	stivâsescu - mi	îngrămădi, v
sf	stiymii	moment
sf	stizmâ, stizmati, stizmuri	zid
vb 4	stizmusescu	zidi, v
sf	stizmusiri	zidire
adj	stizmusitu	zid, înconjurat cu
adj	stizmusitu	zidit
sn	stocu	grămadă
sf	stofâ	stofă
sn	stogu	grămadă
sf fpl	stoli	îmbrăcăminte
sf pl?	stolidhâ	podoabă
sf pl?	stolizmâ	mobilare
sn	stolu	flotă
sf pl?	stoluzmâ	mobilare
sn	stomahu	stomac
sm	stopanu	cioban şef
prep	strâ	deasupra
prep	strâ	pentru
prep	strâ	sus, în
prefix	strâ-	stră-
sm	strâaushu	străbun
adj	strâbalu	ştirb
sf	strâbâteari	diaree
sf	strâbatiri	penetrare
sf	strâbatiri	străbatere
sf	strâbatiri	traversare
vb 3+2	strâbatu	penetra, v
